Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall, Area_Code, Prefix, Day_of_Week, Time
8009260305,2019-12-13 10:46:49,2019-12-09 14:28:00,Virginia Beach,Virginia,757,"Calls pretending to be government, businesses, or family and friends",Y,800,926,0,14.47
5402770438,2019-12-13 10:47:36,2019-12-13 10:31:00,,Virginia,276,No Subject Provided,N,540,277,4,10.52
3364197621,2019-12-13 10:47:37,2019-12-13 10:45:00,,Virginia,276,No Subject Provided,Y,336,419,4,10.75
4349625633,2019-12-13 10:49:10,2019-12-13 10:44:00,Palmyra,Virginia,434,"Reducing your debt (credit cards, mortgage, student loans)",Y,434,962,4,10.73
8772391225,2019-12-13 10:50:13,2019-10-04 00:00:00,,Virginia,757,No Subject Provided,N,877,239,4,0.00
8009033637,2019-12-13 10:50:24,2019-12-13 10:08:00,Falls Church,Virginia,703,Dropped call or no message,Y,800,903,4,10.13
5312014048,2019-12-13 10:50:53,2019-10-04 00:00:00,,Virginia,757,No Subject Provided,Y,531,201,4,0.00
7577760189,2019-12-13 10:50:55,2019-12-13 10:40:00,Richmond,Virginia,804,Medical  & prescriptions,N,757,776,4,10.67
8048063560,2019-12-13 10:52:18,2019-10-04 00:00:00,,Virginia,757,No Subject Provided,N,804,806,4,0.00
7573849447,2019-12-13 10:53:34,2019-10-04 00:00:00,,Virginia,757,No Subject Provided,N,757,384,4,0.00
6193294180,2019-12-13 10:53:46,2019-12-13 10:00:00,Henrico,Virginia,540,Other,Y,619,329,4,10.00
7572605593,2019-12-13 10:54:04,2019-10-04 00:00:00,,Virginia,757,No Subject Provided,N,757,260,4,0.00
5123992286,2019-12-13 10:54:39,2019-10-04 00:00:00,,Virginia,757,No Subject Provided,N,512,399,4,0.00
7573849447,2019-12-13 10:55:10,2019-10-04 00:00:00,,Virginia,757,No Subject Provided,N,757,384,4,0.00
8887221073,2019-12-13 10:56:36,2019-12-13 09:41:00,NORFOLK,Virginia,757,No Subject Provided,N,888,722,4,9.68
9704044275,2019-12-13 10:56:39,2019-10-04 00:00:00,,Virginia,757,No Subject Provided,N,970,404,4,0.00
8042078013,2019-12-13 10:57:02,2019-12-13 10:31:00,,Virginia,804,"Calls pretending to be government, businesses, or family and friends",Y,804,207,4,10.52
7572792393,2019-12-13 10:58:25,2019-12-13 09:25:00,NORFOLK,Virginia,757,No Subject Provided,N,757,279,4,9.42
8002244183,2019-12-13 10:58:29,2019-12-13 10:46:00,Yorktown,Virginia,757,"Calls pretending to be government, businesses, or family and friends",Y,800,224,4,10.77
6182392698,2019-12-13 10:58:42,2019-10-04 00:00:00,,Virginia,757,No Subject Provided,N,618,239,4,0.00
7572803460,2019-12-13 11:00:07,2019-12-13 11:58:00,NORFOLK,Virginia,757,No Subject Provided,N,757,280,4,11.97
7573308894,2019-12-13 11:00:13,2019-10-04 00:00:00,,Virginia,757,No Subject Provided,N,757,330,4,0.00
3146824849,2019-12-13 11:00:49,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,314,682,1,0.00
8445560352,2019-12-13 11:01:27,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,844,556,1,0.00
7402779558,2019-12-13 11:01:44,2019-12-13 10:42:00,Luray,Virginia,703,No Subject Provided,Y,740,277,4,10.70
6083716666,2019-12-13 11:02:00,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,608,371,1,0.00
7276484740,2019-12-13 11:02:55,2019-12-13 10:54:00,Luray,Virginia,703,No Subject Provided,Y,727,648,4,10.90
7573202816,2019-12-13 11:04:22,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,757,320,1,0.00
4174441190,2019-12-13 11:04:32,2019-12-13 10:56:00,Luray,Virginia,703,No Subject Provided,Y,417,444,4,10.93
5409088148,2019-12-13 11:06:27,2019-12-13 09:17:00,,Virginia,540,No Subject Provided,N,540,908,4,9.28
4109340096,2019-12-13 11:05:36,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,410,934,1,0.00
7402779558,2019-12-13 11:05:45,2019-12-13 10:48:00,Luray,Virginia,703,No Subject Provided,Y,740,277,4,10.80
4052962883,2019-12-13 11:06:35,2019-12-13 08:03:00,,Virginia,434,Other,Y,405,296,4,8.05
4620441583,2019-12-13 11:06:37,2019-12-13 09:37:00,Richmond,Virginia,804,Computer  & technical support,N,462,044,4,9.62
7035845694,2019-12-13 11:07:14,2019-12-13 11:01:00,,Virginia,703,No Subject Provided,N,703,584,4,11.02
2122709193,2019-12-13 11:07:02,2019-12-13 11:03:00,Luray,Virginia,703,No Subject Provided,Y,212,270,4,11.05
