Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
+17186750483,2019-12-13 00:34:29,2019-12-13 00:34:29,,District of Columbia,202,No Subject Provided,Y
+13521784886,2019-12-13 00:38:01,2019-12-13 00:38:01,,Virginia,571,No Subject Provided,Y
+15712061603,2019-12-13 00:38:37,2019-12-13 00:38:37,,Virginia,571,No Subject Provided,Y
7344183136,2019-12-13 00:43:44,2019-12-12 08:00:00,,New York,585,"Calls pretending to be government, businesses, or family and friends",Y
2029211680,2019-12-13 00:44:02,2019-12-09 13:05:00,Kerman,California,559,Dropped call or no message,N
8668713070,2019-12-13 00:45:57,2019-12-11 16:12:00,San Antonio,Texas,210,Charities,N
8886897174,2019-12-13 00:46:40,2019-12-12 16:11:00,bronx,New York,718,No Subject Provided,Y
2092252034,2019-12-13 00:47:31,2019-12-12 16:24:00,,California,925,Dropped call or no message,Y
7815635853,2019-12-13 00:48:53,2019-12-11 09:48:00,East Boston,Massachusetts,781,Medical  & prescriptions,N
9146982353,2019-12-13 00:50:39,2019-12-12 10:14:00,,New York,516,No Subject Provided,Y
3109127417,2019-12-13 00:51:58,2019-12-12 10:09:00,Kerman,California,559,Dropped call or no message,N
7865591747,2019-12-13 00:52:14,2019-12-12 00:00:00,Mount Joy,Pennsylvania,717,"Calls pretending to be government, businesses, or family and friends",N
9737150915,2019-12-13 00:52:32,2019-12-12 14:52:00,,New York,516,No Subject Provided,N
3105792098,2019-12-13 00:52:56,2019-12-12 14:09:00,,Texas,972,No Subject Provided,Y
6312127684,2019-12-13 00:54:01,2019-12-12 16:26:00,,New York,516,No Subject Provided,Y
3105792098,2019-12-13 00:54:12,2019-12-12 14:09:00,,Texas,972,No Subject Provided,Y
2192902474,2019-12-13 00:54:29,2019-12-11 14:05:00,,Texas,806,Home improvement  & cleaning,Y
6312127684,2019-12-13 00:54:58,2019-12-12 16:27:00,,New York,516,No Subject Provided,Y
6312127684,2019-12-13 00:55:36,2019-12-12 16:27:00,,New York,516,No Subject Provided,Y
2192902474,2019-12-13 00:55:47,2019-12-11 16:40:00,,Texas,806,Home improvement  & cleaning,Y
8008002775,2019-12-13 00:56:57,2019-12-12 08:00:00,los angeles,California,323,Computer  & technical support,Y
7852382314,2019-12-13 00:57:17,2019-12-09 00:00:00,JUNCTION CITY,Kansas,785,No Subject Provided,N
7027476139,2019-12-13 00:57:44,2019-12-12 18:40:00,,California,213,No Subject Provided,Y
,2019-12-13 00:58:21,2019-12-12 13:01:00,,California,951,Other,Y
8003699205,2019-12-13 00:59:27,2019-12-12 13:17:00,,Alaska,907,"Calls pretending to be government, businesses, or family and friends",Y
8451205533,2019-12-13 01:00:06,2019-12-12 15:16:00,Deckerville,Michigan,810,Work from home  & other ways to make money,Y
9152011657,2019-12-13 01:00:15,2019-12-11 11:00:00,los angeles,California,323,"Reducing your debt (credit cards, mortgage, student loans)",Y
2122263126,2019-12-13 01:01:47,2019-11-27 13:52:00,los angeles,California,323,Computer  & technical support,Y
